Event No	Video Second	Player	PlayerTo	Event Type	Event Result	Time (s)	Clock (s)	Touches	Frames	x	y	x (m)	y (m)	x End	y End	x End (m)	y End (m)	Distance (m)	Speed (s)	Event Result Ni	xPressure
22	39	Roberto Firmino	Emre Can	Pass	Successful	1.6	33.6	1	19	64.3	58.4	67.5	39.7	57.0	35.3	59.8	24.0	17.5	11.0	1	0.6
23	40	Emre Can		Pass	Unsuccessful	1.6	35.2	1	19	57.0	35.3	59.8	24.0	56.4	37.4	59.3	25.4	1.5	1.0	0	0.4375
24	42	Olivier Giroud	Santiago Cazorla	Pass	Successful	1.5	36.7	1	18	56.4	37.4	59.3	25.4	51.6	38.7	54.2	26.3	5.1	3.4	1	0.3375
25	44	Santiago Cazorla	Mesut Özil	Pass	Successful	1.3	38	1	16	51.6	38.7	54.2	26.3	60.4	33.7	63.4	22.9	9.8	7.5	1	0.4375
26	45	Mesut Özil	Olivier Giroud	Pass	Successful	1	39	1	12	60.4	33.7	63.4	22.9	61.3	50.8	64.3	34.5	11.7	11.7	1	0.7375
27	46	Olivier Giroud		Control	Unsuccessful	1.6	40.6	1	19	61.3	50.8	64.3	34.5	66.3	50.5	69.6	34.4	5.3	3.3	0	0.4125
28	47	James Milner		Tackle	Successful	1.5	42.1	1	18	66.3	50.5	69.6	34.4	71.6	42.1	75.2	28.6	8.0	5.4	1	1
29	48	James Milner	Joseph Gomez	Pass	Successful	1.5	43.6	1	18	71.6	42.1	75.2	28.6	67.0	22.6	70.3	15.4	14.1	9.4	1	0.6
30	50	Joseph Gomez		Control	Successful	1.2	44.8	1	14	67.0	22.6	70.3	15.4	63.4	16.8	66.6	11.5	5.4	4.5	1	0.225
31	52	Joseph Gomez		Pass	Unsuccessful	0.6	45.4	1	7	63.4	16.8	66.6	11.5	57.5	27.4	60.4	18.6	9.5	15.8	0	0.2125
32	52	Santiago Cazorla		Interception	Unsuccessful	1	46.4	1	12	57.5	27.4	60.4	18.6	56.8	50.0	59.6	34.0	15.4	15.4	0	0.35
33	54	Roberto Firmino		Control	Successful	1.5	47.9	2	18	56.8	50.0	59.6	34.0	51.8	53.4	54.4	36.3	5.7	3.8	1	0.1125
34	56	Roberto Firmino	James Milner	Pass	Successful	1.4	49.3	1	17	51.8	53.4	54.4	36.3	43.8	75.3	45.9	51.2	17.1	12.2	1	0.25
35	58	James Milner	Nathaniel Clyne	Pass	Successful	2.3	51.6	1	23	43.8	75.3	45.9	51.2	38.2	94.5	40.1	64.2	14.3	6.2	1	0.4875
36	60	Nathaniel Clyne		Ball Carry	Successful	2.9	54.5	2	35	38.2	94.5	40.1	64.2	19.5	92.1	20.4	62.6	19.8	6.8	1	0.05
37	62	Nathaniel Clyne	Roberto Firmino	Pass	Successful	2	56.5	1	24	19.5	92.1	20.4	62.6	6.4	77.4	6.8	52.6	17.0	8.5	1	0.025
38	64	Roberto Firmino		Control	Successful	1.5	58	1	18	6.4	77.4	6.8	52.6	0.2	77.9	0.2	53.0	6.6	4.4	1	0.3125
39	67	Roberto Firmino		Pass	Unsuccessful	1.8	59.8	1	22	0.2	77.9	0.2	53.0	7.7	68.9	8.1	46.9	10.0	5.5	0	0.4
