EventNo	x	y	yReversed	Player	Type	x_m	y_m	DistanceFromBall	Speed (m/s)	TimeToBall (s)	Man in Possession	Pressure Lookup	TeamOnBall	Oppositoin xPressure	Count	Team	Position	Notes	Prior x (m)	Prior y (m)	Distance (m)	Speed (m/s)	Direction	Data Complete?
1	52.0	34.7	65.3	Roberto Firmino	Liverpool	54.6	23.6	10.3	3.7	1.9	0	0.013	0	0.013	5	Liverpool	AMR		0.0	0.0				1
1	59.1	45.8	54.2	Lucas Leiva	Liverpool	62.1	31.1	10.2	3.7	1.9	0	0.013	0	0.013	6	Liverpool	CM		0.0	0.0				1
1	63.0	17.9	82.1	Nathaniel Clyne	Liverpool	66.2	12.2	25.7	3.7	4.1	0	0.000	0	0.000	7	Liverpool	RB		0.0	0.0				1
1	67.0	43.2	56.8	Martin Skrtel	Liverpool	70.3	29.3	18.7	3.7	3.1	0	0.000	0	0.000	8	Liverpool	CBR		0.0	0.0				1
1	67.7	57.9	42.1	Dejan Lovren	Liverpool	71.1	39.4	19.8	3.7	3.3	0	0.000	0	0.000	9	Liverpool	CBL		0.0	0.0				1
1	66.3	71.8	28.2	Joseph Gomez	Liverpool	69.6	48.9	23.1	3.7	3.8	0	0.000	0	0.000	10	Liverpool	LB		0.0	0.0				1
1	87.5	48.2	51.8	Simon Mignolet	Liverpool	91.9	32.7	39.8	3.7	6.2	0	0.000	0	0.000	11	Liverpool	GK	GK Not in View	0.0	0.0				1
2	49.0	46.8	53.2	Ball	Ball	51.5	31.9								1				52.1	33.6	1.9	#ARG!		1
2	49.1	46.8	53.2	Mesut Özil	Arsenal	51.6	31.9	0.4	3.7	0.1	1	0.500	1	0.000	1	Arsenal	FWC		51.6	31.9	0.0	#ARG!		1
2	49.8	50.0	50.0	Olivier Giroud	Arsenal	52.3	34.0	1.9	3.7	0.5	0	0.400	1	0.000	2	Arsenal	AMC		52.3	34.0	0.0	#ARG!		1
2	49.3	31.3	68.7	Alexis Sánchez	Arsenal	51.8	21.3	12.4	3.7	2.2	0	0.000	1	0.000	3	Arsenal	AML		51.8	21.3	0.0	#ARG!		1
2	48.8	84.7	15.3	Aaron Ramsey	Arsenal	51.2	57.6	24.0	3.7	3.9	0	0.000	1	0.000	4	Arsenal	AMR		51.2	57.6	0.0	#ARG!		1
2	39.8	14.2	85.8	Nacho Monreal	Arsenal	41.8	9.7	26.1	3.7	4.2	0	0.000	1	0.000	5	Arsenal	LB		41.8	9.7	0.0	#ARG!		1
2	40.0	34.5	65.5	Francis Coquelin	Arsenal	42.0	23.4	14.4	3.7	2.5	0	0.000	1	0.000	6	Arsenal	CMR		42.0	23.4	0.0	#ARG!		1
2	38.2	50.8	49.2	Santiago Cazorla	Arsenal	40.1	34.5	12.0	3.7	2.2	0	0.000	1	0.000	7	Arsenal	CML		40.1	34.5	0.0	#ARG!		1
2	33.2	40.8	59.2	Gabriel	Arsenal	34.9	27.7	18.2	3.7	3.1	0	0.000	1	0.000	8	Arsenal	CBL		34.9	27.7	0.0	#ARG!		1
2	33.0	55.0	45.0	Calum Chambers	Arsenal	34.7	37.4	17.8	3.7	3.0	0	0.000	1	0.000	9	Arsenal	CBR		34.7	37.4	0.0	#ARG!		1
2	37.9	75.3	24.7	Héctor Bellerín	Arsenal	39.8	51.2	21.5	3.7	3.5	0	0.000	1	0.000	10	Arsenal	RB		39.8	51.2	0.0	#ARG!		1
2	12.1	48.2	51.8	Petr Cech	Arsenal	12.7	32.7	39.4	3.7	6.1	0	0.000	1	0.000	11	Arsenal	GK	GK Not in View	12.7	32.7	0.0	#ARG!		1
2	50.0	65.5	34.5	Christian Benteke	Liverpool	52.5	44.6	10.9	3.7	2.0	0	0.000	0	0.000	1	Liverpol	FWC		52.5	44.6	0.0	#ARG!		1
2	48.6	66.8	33.2	Philippe Coutinho	Liverpool	51.0	45.5	11.9	3.7	2.2	0	0.000	0	0.000	2	Liverpol	AML		53.1	45.5	2.1	#ARG!		1
2	57.9	53.7	46.3	Emre Can	Liverpool	60.8	36.5	9.1	3.7	1.8	0	0.013	0	0.013	3	Liverpol	CML		60.8	36.5	0.0	#ARG!		1
2	52.3	36.6	63.4	James Milner	Liverpool	54.9	24.9	9.2	3.7	1.8	0	0.013	0	0.013	4	Liverpol	CMR		54.9	24.9	0.0	#ARG!		1
2	52.0	34.7	65.3	Roberto Firmino	Liverpool	54.6	23.6	10.3	3.7	1.9	0	0.013	0	0.013	5	Liverpol	AMR		54.6	23.6	0.0	#ARG!		1
2	59.1	45.8	54.2	Lucas Leiva	Liverpool	62.1	31.1	10.2	3.7	1.9	0	0.013	0	0.013	6	Liverpol	CM		62.1	31.1	0.0	#ARG!		1
2	63.0	17.9	82.1	Nathaniel Clyne	Liverpool	66.2	12.2	25.7	3.7	4.1	0	0.000	0	0.000	7	Liverpol	RB		66.2	12.2	0.0	#ARG!		1
2	67.0	43.2	56.8	Martin Skrtel	Liverpool	70.3	29.3	18.7	3.7	3.1	0	0.000	0	0.000	8	Liverpol	CBR		70.3	29.3	0.0	#ARG!		1
2	67.7	57.9	42.1	Dejan Lovren	Liverpool	71.1	39.4	19.8	3.7	3.3	0	0.000	0	0.000	9	Liverpol	CBL		71.1	39.4	0.0	#ARG!		1
2	66.3	71.8	28.2	Joseph Gomez	Liverpool	69.6	48.9	23.1	3.7	3.8	0	0.000	0	0.000	10	Liverpol	LB		69.6	48.9	0.0	#ARG!		1
2	87.5	48.2	51.8	Simon Mignolet	Liverpool	91.9	32.7	39.8	3.7	6.2	0	0.000	0	0.000	11	Liverpol	GK	GK Not in View	91.9	32.7	0.0	#ARG!		1
3	39.5	55.3	44.7	Ball	Ball	41.4	37.6								1				51.5	31.9	11.6	#ARG!		1
3	39.1	55.3	44.7	Santiago Cazorla	Arsenal	41.1	37.6	0.4	3.7	0.1	0	0.500	1	0.000	3	Arsenal	CML		40.1	34.5	3.2	#ARG!		1
3	57.0	45.0	55.0	Olivier Giroud	Arsenal	59.8	30.6	19.7	3.7	3.3	1	0.000	1	0.000	1	Arsenal	AMC		52.3	34.0	8.2	#ARG!		1
3	52.1	50.0	50.0	Mesut Özil	Arsenal	54.7	34.0	13.8	3.7	2.4	0	0.000	1	0.000	2	Arsenal	FWC		51.6	31.9	3.8	#ARG!		1
3	39.3	37.9	62.1	Francis Coquelin	Arsenal	41.3	25.8	11.8	3.7	2.2	0	0.000	1	0.000	4	Arsenal	CMR		42.0	23.4	2.4	#ARG!		1
3	42.1	15.0	85.0	Nacho Monreal	Arsenal	44.2	10.2	27.5	3.7	4.4	0	0.000	1	0.000	5	Arsenal	LB		41.8	9.7	2.5	#ARG!		1
3	52.9	27.4	72.6	Alexis Sánchez	Arsenal	55.5	18.6	23.6	3.7	3.8	0	0.000	1	0.000	6	Arsenal	AML		51.8	21.3	4.6	#ARG!		1
3	29.5	43.9	56.1	Gabriel	Arsenal	30.9	29.9	13.0	3.7	2.3	0	0.000	1	0.000	7	Arsenal	CBL		34.9	27.7	4.5	#ARG!		1
3	31.8	63.9	36.1	Calum Chambers	Arsenal	33.4	43.5	10.0	3.7	1.9	0	0.013	1	0.000	8	Arsenal	CBR		34.7	37.4	6.2	#ARG!		1
3	39.6	82.4	17.6	Héctor Bellerín	Arsenal	41.6	56.0	18.4	3.7	3.1	0	0.000	1	0.000	9	Arsenal	RB		39.8	51.2	5.2	#ARG!		1
3	54.5	88.4	11.6	Aaron Ramsey	Arsenal	57.2	60.1	27.5	3.7	4.4	0	0.000	1	0.000	10	Arsenal	AMR		51.2	57.6	6.5	#ARG!		1
3	13.4	48.4	51.6	Petr Cech	Arsenal	14.1	32.9	27.8	3.7	4.4	0	0.000	1	0.000	11	Arsenal	GK	GK Not in View	12.7	32.7	1.3	#ARG!		1
3	41.8	58.9	41.1	Christian Benteke	Liverpool	43.9	40.1	3.5	3.7	0.9	0	0.200	0	0.200	1	Liverpol	FWC		52.5	44.6	9.7	#ARG!		1
3	46.1	41.3	58.7	James Milner	Liverpool	48.4	28.1	11.8	3.7	2.2	0	0.000	0	0.000	2	Liverpol	CMR		54.9	24.9	7.3	#ARG!		1
3	48.2	70.5	29.5	Philippe Coutinho	Liverpool	50.6	48.0	13.9	3.7	2.5	0	0.000	0	0.000	3	Liverpol	AML		51.0	45.5	2.5	#ARG!		1
3	53.0	29.7	70.3	Roberto Firmino	Liverpool	55.7	20.2	22.5	3.7	3.7	0	0.000	0	0.000	4	Liverpol	AMR		54.6	23.6	3.6	#ARG!		1
3	53.8	55.3	44.7	Emre Can	Liverpool	56.4	37.6	15.0	3.7	2.6	0	0.000	0	0.000	5	Liverpol	CML		60.8	36.5	4.4	#ARG!		1
3	57.9	44.2	55.8	Lucas Leiva	Liverpool	60.8	30.1	20.7	3.7	3.4	0	0.000	0	0.000	6	Liverpol	CM		62.1	31.1	1.7	#ARG!		1
3	62.3	24.7	75.3	Nathaniel Clyne	Liverpool	65.4	16.8	31.7	3.7	5.0	0	0.000	0	0.000	7	Liverpol	RB		66.2	12.2	4.7	#ARG!		1
3	65.2	41.3	58.7	Martin Skrtel	Liverpool	68.4	28.1	28.6	3.7	4.6	0	0.000	0	0.000	8	Liverpol	CBR		70.3	29.3	2.3	#ARG!		1
3	65.5	57.4	42.6	Dejan Lovren	Liverpool	68.8	39.0	27.4	3.7	4.4	0	0.000	0	0.000	9	Liverpol	CBL		71.1	39.4	2.3	#ARG!		1
3	65.4	77.9	22.1	Joseph Gomez	Liverpool	68.6	53.0	31.2	3.7	4.9	0	0.000	0	0.000	10	Liverpol	LB		69.6	48.9	4.2	#ARG!		1
3	86.6	48.2	51.8	Simon Mignolet	Liverpool	90.9	32.7	49.7	3.7	7.6	0	0.000	0	0.000	11	Liverpol	GK	GK Not in View	91.9	32.7	0.9	#ARG!		1
4	39.5	55.3	44.7	Ball	Ball	41.4	37.6								1				41.4	37.6	0.0	#ARG!		1
4	57.0	45.0	55.0	Olivier Giroud	Arsenal	59.8	30.6	19.7	3.7	3.3	1	0.000	1	0.000	1	Arsenal	AMC		59.8	30.6	0.0	#ARG!		1
4	52.1	50.0	50.0	Mesut Özil	Arsenal	54.7	34.0	13.8	3.7	2.4	0	0.000	1	0.000	2	Arsenal	FWC		54.7	34.0	0.0	#ARG!		1
4	39.1	55.3	44.7	Santiago Cazorla	Arsenal	41.1	37.6	0.4	3.7	0.1	0	0.500	1	0.000	3	Arsenal	CML		41.1	37.6	0.0	#ARG!		1
4	39.3	37.9	62.1	Francis Coquelin	Arsenal	41.3	25.8	11.8	3.7	2.2	0	0.000	1	0.000	4	Arsenal	CMR		41.3	25.8	0.0	#ARG!		1
4	42.1	15.0	85.0	Nacho Monreal	Arsenal	44.2	10.2	27.5	3.7	4.4	0	0.000	1	0.000	5	Arsenal	LB		44.2	10.2	0.0	#ARG!		1
4	52.9	27.4	72.6	Alexis Sánchez	Arsenal	55.5	18.6	23.6	3.7	3.8	0	0.000	1	0.000	6	Arsenal	AML		55.5	18.6	0.0	#ARG!		1
4	29.5	43.9	56.1	Gabriel	Arsenal	30.9	29.9	13.0	3.7	2.3	0	0.000	1	0.000	7	Arsenal	CBL		30.9	29.9	0.0	#ARG!		1
4	31.8	63.9	36.1	Calum Chambers	Arsenal	33.4	43.5	10.0	3.7	1.9	0	0.013	1	0.000	8	Arsenal	CBR		33.4	43.5	0.0	#ARG!		1
4	39.6	82.4	17.6	Héctor Bellerín	Arsenal	41.6	56.0	18.4	3.7	3.1	0	0.000	1	0.000	9	Arsenal	RB		41.6	56.0	0.0	#ARG!		1
4	54.5	88.4	11.6	Aaron Ramsey	Arsenal	57.2	60.1	27.5	3.7	4.4	0	0.000	1	0.000	10	Arsenal	AMR		57.2	60.1	0.0	#ARG!		1
4	13.4	48.4	51.6	Petr Cech	Arsenal	14.1	32.9	27.8	3.7	4.4	0	0.000	1	0.000	11	Arsenal	GK	GK Not in View	14.1	32.9	0.0	#ARG!		1
4	41.8	58.9	41.1	Christian Benteke	Liverpool	43.9	40.1	3.5	3.7	0.9	0	0.200	0	0.200	1	Liverpol	FWC		43.9	40.1	0.0	#ARG!		1
4	46.1	41.3	58.7	James Milner	Liverpool	48.4	28.1	11.8	3.7	2.2	0	0.000	0	0.000	2	Liverpol	CMR		48.4	28.1	0.0	#ARG!		1
4	48.2	70.5	29.5	Philippe Coutinho	Liverpool	50.6	48.0	13.9	3.7	2.5	0	0.000	0	0.000	3	Liverpol	AML		50.6	48.0	0.0	#ARG!		1
4	53.0	29.7	70.3	Roberto Firmino	Liverpool	55.7	20.2	22.5	3.7	3.7	0	0.000	0	0.000	4	Liverpol	AMR		55.7	20.2	0.0	#ARG!		1
4	53.8	55.3	44.7	Emre Can	Liverpool	56.4	37.6	15.0	3.7	2.6	0	0.000	0	0.000	5	Liverpol	CML		56.4	37.6	0.0	#ARG!		1
4	57.9	44.2	55.8	Lucas Leiva	Liverpool	60.8	30.1	20.7	3.7	3.4	0	0.000	0	0.000	6	Liverpol	CM		60.8	30.1	0.0	#ARG!		1
4	62.3	24.7	75.3	Nathaniel Clyne	Liverpool	65.4	16.8	31.7	3.7	5.0	0	0.000	0	0.000	7	Liverpol	RB		65.4	16.8	0.0	#ARG!		1
4	65.2	41.3	58.7	Martin Skrtel	Liverpool	68.4	28.1	28.6	3.7	4.6	0	0.000	0	0.000	8	Liverpol	CBR		68.4	28.1	0.0	#ARG!		1
4	65.5	57.4	42.6	Dejan Lovren	Liverpool	68.8	39.0	27.4	3.7	4.4	0	0.000	0	0.000	9	Liverpol	CBL		68.8	39.0	0.0	#ARG!		1
4	65.4	77.9	22.1	Joseph Gomez	Liverpool	68.6	53.0	31.2	3.7	4.9	0	0.000	0	0.000	10	Liverpol	LB		68.6	53.0	0.0	#ARG!		1
4	86.6	48.2	51.8	Simon Mignolet	Liverpool	90.9	32.7	49.7	3.7	7.6	0	0.000	0	0.000	11	Liverpol	GK	GK Not in View	90.9	32.7	0.0	#ARG!		1
5	38.8	34.5	65.5	Ball	Ball	40.7	23.4								1				41.4	37.6	14.2	#ARG!		1
5	39.1	33.4	66.6	Francis Coquelin	Arsenal	41.1	22.7	0.8	3.7	0.2	1	0.500	1	0.000	1	Arsenal	CMR		41.3	25.8	3.0	#ARG!		1
5	38.2	50.5	49.5	Santiago Cazorla	Arsenal	40.1	34.4	10.9	3.7	2.0	0	0.000	1	0.000	2	Arsenal	CML		41.1	37.6	3.4	#ARG!		1
5	43.8	14.5	85.5	Nacho Monreal	Arsenal	45.9	9.8	14.6	3.7	2.6	0	0.000	1	0.000	3	Arsenal	LB		44.2	10.2	1.7	#ARG!		1
5	27.5	38.2	61.8	Gabriel	Arsenal	28.9	25.9	12.1	3.7	2.2	0	0.000	1	0.000	4	Arsenal	CBL		30.9	29.9	4.4	#ARG!		1
5	28.4	60.3	39.7	Calum Chambers	Arsenal	29.8	41.0	20.6	3.7	3.4	0	0.000	1	0.000	5	Arsenal	CBR		33.4	43.5	4.4	#ARG!		1
5	38.8	85.8	14.2	Héctor Bellerín	Arsenal	40.7	58.3	34.9	3.7	5.5	0	0.000	1	0.000	6	Arsenal	RB		41.6	56.0	2.5	#ARG!		1
5	13.4	48.2	51.8	Petr Cech	Arsenal	14.1	32.7	28.2	3.7	4.5	0	0.000	1	0.000	7	Arsenal		GK Not in View	14.1	32.9	0.2	#ARG!		1
5	52.5	23.7	76.3	Alexis Sánchez	Arsenal	55.1	16.1	16.2	3.7	2.8	0	0.000	1	0.000	8	Arsenal	AML		55.5	18.6	2.5	#ARG!		1
5	53.9	51.6	48.4	Mesut Özil	Arsenal	56.6	35.1	19.7	3.7	3.3	0	0.000	1	0.000	9	Arsenal	AMC		54.7	34.0	2.2	#ARG!		1
5	60.7	51.1	48.9	Olivier Giroud	Arsenal	63.7	34.7	25.7	3.7	4.1	0	0.000	1	0.000	10	Arsenal	FWC		59.8	30.6	5.7	#ARG!		1
5	57.9	90.8	9.2	Aaron Ramsey	Arsenal	60.8	61.7	43.2	3.7	6.6	0	0.000	1	0.000	11	Arsenal	GK		57.2	60.1	3.9	#ARG!		1
5	36.4	51.3	48.7	Christian Benteke	Liverpool	38.3	34.9	11.7	3.7	2.1	0	0.000	0	0.000	1	Liverpool	FWC		43.9	40.1	7.7	#ARG!		1
5	41.4	33.9	66.1	James Milner	Liverpool	43.5	23.1	2.8	3.7	0.8	0	0.200	0	0.200	2	Liverpool	CMR		48.4	28.1	7.0	#ARG!		1
5	45.0	73.9	26.1	Philippe Coutinho	Liverpool	47.3	50.3	27.6	3.7	4.4	0	0.000	0	0.000	3	Liverpool	AML		50.6	48.0	4.1	#ARG!		1
5	47.0	24.7	75.3	Roberto Firmino	Liverpool	49.3	16.8	10.9	3.7	2.0	0	0.000	0	0.000	4	Liverpool	AMR		55.7	20.2	7.2	#ARG!		1
5	52.5	52.9	47.1	Emre Can	Liverpool	55.1	36.0	19.1	3.7	3.2	0	0.000	0	0.000	5	Liverpool	CML		56.4	37.6	2.1	#ARG!		1
5	55.2	46.1	53.9	Lucas Leiva	Liverpool	57.9	31.3	19.0	3.7	3.2	0	0.000	0	0.000	6	Liverpool	CM		60.8	30.1	3.1	#ARG!		1
5	87.0	48.4	51.6	Simon Mignolet	Liverpool	91.3	32.9	51.5	3.7	7.8	0	0.000	0	0.000	7	Liverpool	GK	GK Not in View	90.9	32.7	0.4	#ARG!		1
5	57.5	21.8	78.2	Nathaniel Clyne	Liverpool	60.4	14.9	21.5	3.7	3.5	0	0.000	0	0.000	8	Liverpool	RB		65.4	16.8	5.4	#ARG!		1
5	62.5	42.6	57.4	Martin Skrtel	Liverpool	65.6	29.0	25.5	3.7	4.1	0	0.000	0	0.000	9	Liverpool	CBR		68.4	28.1	3.0	#ARG!		1
5	63.2	56.3	43.7	Dejan Lovren	Liverpool	66.4	38.3	29.7	3.7	4.7	0	0.000	0	0.000	10	Liverpool	CBL		68.8	39.0	2.5	#ARG!		1
5	60.9	73.2	26.8	Joseph Gomez	Liverpool	63.9	49.7	35.1	3.7	5.5	0	0.000	0	0.000	11	Liverpool	LB		68.6	53.0	5.7	#ARG!		1
6	27.1	28.7	71.3	Ball	Ball	28.5	19.5								1				40.7	23.4	12.8	#ARG!		1
6	26.6	28.4	71.6	Gabriel	Arsenal	27.9	19.3	0.6	3.7	0.2	1	0.500	1	0.000	1	Arsenal	CBL		28.9	25.9	6.7	#ARG!		1
6	41.1	3.2	96.8	Nacho Monreal	Arsenal	43.1	2.1	22.7	3.7	3.7	0	0.000	1	0.000	2	Arsenal	LB		45.9	9.8	8.2	#ARG!		1
6	40.2	30.8	69.2	Francis Coquelin	Arsenal	42.2	20.9	13.8	3.7	2.4	0	0.000	1	0.000	3	Arsenal	CMR		41.1	22.7	2.1	#ARG!		1
6	40.7	47.6	52.4	Santiago Cazorla	Arsenal	42.7	32.4	19.2	3.7	3.2	0	0.000	1	0.000	4	Arsenal	CML		40.1	34.4	3.3	#ARG!		1
6	25.2	67.1	32.9	Calum Chambers	Arsenal	26.4	45.6	26.2	3.7	4.2	0	0.000	1	0.000	5	Arsenal	CBR		29.8	41.0	5.7	#ARG!		1
6	37.5	88.2	11.8	Héctor Bellerín	Arsenal	39.4	59.9	41.9	3.7	6.5	0	0.000	1	0.000	6	Arsenal	RB		40.7	58.3	2.1	#ARG!		1
6	56.8	87.9	12.1	Aaron Ramsey	Arsenal	59.6	59.8	50.9	3.7	7.7	0	0.000	1	0.000	7	Arsenal	GK		60.8	61.7	2.3	#ARG!		1
6	54.5	50.3	49.7	Mesut Özil	Arsenal	57.2	34.2	32.2	3.7	5.1	0	0.000	1	0.000	8	Arsenal	AMC		56.6	35.1	1.1	#ARG!		1
6	61.6	46.6	53.4	Olivier Giroud	Arsenal	64.7	31.7	38.2	3.7	5.9	0	0.000	1	0.000	9	Arsenal	FWC		63.7	34.7	3.2	#ARG!		1
6	53.4	22.6	77.4	Alexis Sánchez	Arsenal	56.1	15.4	27.9	3.7	4.5	0	0.000	1	0.000	10	Arsenal	AML		55.1	16.1	1.2	#ARG!		1
6	11.4	49.2	50.8	Petr Cech	Arsenal	12.0	33.5	21.6	3.7	3.6	0	0.000	1	0.000	11	Arsenal	GK	GK Not in View	14.1	32.7	2.2	#ARG!		1
6	29.8	31.6	68.4	Christian Benteke	Liverpool	31.3	21.5	3.4	3.7	0.9	0	0.200	0	0.200	1	Liverpool	FWC		38.3	34.9	15.1	#ARG!		1
6	39.3	28.7	71.3	James Milner	Liverpool	41.3	19.5	12.8	3.7	2.3	0	0.000	0	0.000	2	Liverpool	CMR		43.5	23.1	4.2	#ARG!		1
6	45.0	15.0	85.0	Roberto Firmino	Liverpool	47.3	10.2	20.9	3.7	3.5	0	0.000	0	0.000	3	Liverpool	AMR		49.3	16.8	6.9	#ARG!		1
6	47.5	55.8	44.2	Emre Can	Liverpool	49.9	37.9	28.2	3.7	4.5	0	0.000	0	0.000	4	Liverpool	CML		55.1	36.0	5.6	#ARG!		1
6	43.0	70.8	29.2	Philippe Coutinho	Liverpool	45.2	48.1	33.1	3.7	5.2	0	0.000	0	0.000	5	Liverpool	AML		47.3	50.3	3.0	#ARG!		1
6	51.3	38.2	61.8	Lucas Leiva	Liverpool	53.8	25.9	26.1	3.7	4.2	0	0.000	0	0.000	6	Liverpool	CM		57.9	31.3	6.8	#ARG!		1
6	56.1	21.8	78.2	Nathaniel Clyne	Liverpool	58.9	14.9	30.7	3.7	4.9	0	0.000	0	0.000	7	Liverpool	RB		60.4	14.9	1.5	#ARG!		1
6	58.4	38.9	61.1	Martin Skrtel	Liverpool	61.3	26.5	33.5	3.7	5.3	0	0.000	0	0.000	8	Liverpool	CBR		65.6	29.0	5.0	#ARG!		1
6	58.4	52.4	47.6	Dejan Lovren	Liverpool	61.3	35.6	36.6	3.7	5.7	0	0.000	0	0.000	9	Liverpool	CBL		66.4	38.3	5.7	#ARG!		1
6	57.9	70.0	30.0	Joseph Gomez	Liverpool	60.8	47.6	42.8	3.7	6.6	0	0.000	0	0.000	10	Liverpool	LB		63.9	49.7	3.8	#ARG!		1
6	88.6	49.7	50.3	Simon Mignolet	Liverpool	93.0	33.8	66.1	3.7	9.9	0	0.000	0	0.000	11	Liverpool	GK	GK Not in View	91.3	32.9	1.9	#ARG!		1
7	27.0	29.7	70.3	Ball	Ball	28.3	20.2								1				28.5	19.5	0.7	#ARG!		1
7	26.3	30.0	70.0	Gabriel	Arsenal	27.6	20.4	0.8	3.7	0.2	1	0.500	1	0.000	1	Arsenal	CBL		27.9	19.3	1.1	#ARG!		1
7	25.7	55.0	45.0	Calum Chambers	Arsenal	27.0	37.4	17.2	3.7	2.9	0	0.000	1	0.000	2	Arsenal	CBR		26.4	45.6	8.3	#ARG!		1
7	34.6	86.8	13.2	Héctor Bellerín	Arsenal	36.4	59.1	39.7	3.7	6.1	0	0.000	1	0.000	3	Arsenal	RB		39.4	59.9	3.1	#ARG!		1
7	41.8	48.4	51.6	Santiago Cazorla	Arsenal	43.9	32.9	20.1	3.7	3.3	0	0.000	1	0.000	4	Arsenal	CML		42.7	32.4	1.2	#ARG!		1
7	42.9	34.2	65.8	Francis Coquelin	Arsenal	45.0	23.3	17.0	3.7	2.9	0	0.000	1	0.000	5	Arsenal	CMR		42.2	20.9	3.6	#ARG!		1
7	43.8	6.6	93.4	Nacho Monreal	Arsenal	45.9	4.5	23.6	3.7	3.8	0	0.000	1	0.000	6	Arsenal	LB		43.1	2.1	3.6	#ARG!		1
7	54.6	22.1	77.9	Alexis Sánchez	Arsenal	57.4	15.0	29.5	3.7	4.7	0	0.000	1	0.000	7	Arsenal	AML		56.1	15.4	1.4	#ARG!		1
7	54.8	50.0	50.0	Mesut Özil	Arsenal	57.6	34.0	32.3	3.7	5.1	0	0.000	1	0.000	8	Arsenal	AMC		57.2	34.2	0.4	#ARG!		1
7	58.0	86.6	13.4	Aaron Ramsey	Arsenal	60.9	58.9	50.6	3.7	7.7	0	0.000	1	0.000	9	Arsenal			59.6	59.8	1.6	#ARG!		1
7	62.3	42.4	57.6	Olivier Giroud	Arsenal	65.4	28.8	38.1	3.7	5.9	0	0.000	1	0.000	10	Arsenal	FWC		64.7	31.7	3.0	#ARG!		1
7	13.0	48.2	51.8	Petr Cech	Arsenal	13.7	32.7	19.3	3.7	3.2	0	0.000	1	0.000	11	Arsenal	GK		12.0	33.5	1.8	#ARG!		1
7	29.3	34.7	65.3	Christian Benteke	Liverpool	30.8	23.6	4.2	3.7	1.1	0	0.100	0	0.100	1	Liverpol	FWC		31.3	21.5	2.2	#ARG!		1
7	42.9	69.5	30.5	Philippe Coutinho	Liverpool	45.0	47.2	31.8	3.7	5.0	0	0.000	0	0.000	2	Liverpol	AML		45.2	48.1	0.9	#ARG!		1
7	41.8	33.9	66.1	James Milner	Liverpool	43.9	23.1	15.8	3.7	2.7	0	0.000	0	0.000	3	Liverpol	CMR		41.3	19.5	4.4	#ARG!		1
